Wk,Time,Winner,Pts,Loser,Pts.1,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,win_rank,lose_rank,dates,day_code
4,4:00 PM,Boise State,30,Tennessee-Martin,7,Boise State,Tennessee-Martin,99,99,13,186,0,99,99,2022-09-17,5
4,7:30 PM,Boston College,38,Maine,17,Boston College,Maine,99,99,14,100,0,99,99,2022-09-17,5
4,5:00 PM,Bowling Green,34,Marshall,31,Bowling Green,Marshall,99,99,15,101,0,99,99,2022-09-17,5
4,7:30 PM,Central Florida,40,Florida Atlantic,14,Central Florida,Florida Atlantic,99,99,32,34,1,99,99,2022-09-17,5
4,1:00 PM,Central Michigan,41,Bucknell,0,Central Michigan,Bucknell,99,99,20,26,0,99,99,2022-09-17,5
4,7:00 PM,Charlotte,42,Georgia State,41,Charlotte,Georgia State,99,99,38,37,1,99,99,2022-09-17,5
4,12:00 PM,Cincinnati,38,Miami (OH),17,Cincinnati,Miami (OH),99,99,72,223,3,99,99,2022-09-17,5
4,8:00 PM,(5) Clemson,48,Louisiana Tech,20,Clemson,Louisiana Tech,5,99,23,97,0,5,99,2022-09-17,5
4,1:00 PM,Coastal Carolina,38,Buffalo,26,Coastal Carolina,Buffalo,99,99,24,27,0,99,99,2022-09-17,5
4,6:00 PM,Duke,49,North Carolina A&T,20,Duke,North Carolina A&T,99,99,28,129,0,99,99,2022-09-17,5
4,6:00 PM,East Carolina,49,Campbell,10,East Carolina,Campbell,99,99,29,31,0,99,99,2022-09-17,5
4,11:00 PM,Eastern Michigan,30,Arizona State,21,Eastern Michigan,Arizona State,99,99,6,53,1,99,99,2022-09-17,5
4,7:30 PM,(18) Florida,31,South Florida,28,Florida,South Florida,99,99,31,167,0,18,99,2022-09-17,5
4,12:00 PM,(1) Georgia,48,South Carolina,7,Georgia,South Carolina,99,1,98,65,1,1,99,2022-09-17,5
4,12:00 PM,Indiana,33,Western Kentucky,30,Indiana,Western Kentucky,99,99,43,216,0,99,99,2022-09-17,5
4,7:30 PM,Iowa,27,Nevada,0,Iowa,Nevada,99,99,44,121,0,99,99,2022-09-17,5
4,2:00 PM,Iowa State,43,Ohio,10,Iowa State,Ohio,99,99,45,141,0,99,99,2022-09-17,5
4,4:00 PM,Kansas,48,Houston,30,Kansas,Houston,99,99,41,86,1,99,99,2022-09-17,5
4,12:00 PM,Kent State,63,Long Island,10,Kent State,Long Island,99,99,49,94,0,99,99,2022-09-17,5
4,12:00 PM,(9) Kentucky,31,Youngstown State,0,Kentucky,Youngstown State,9,99,50,222,0,9,99,2022-09-17,5
4,6:00 PM,Louisiana State,31,Mississippi State,16,Louisiana State,Mississippi State,99,99,53,114,0,99,99,2022-09-17,5
4,7:30 PM,Maryland,34,Southern Methodist,27,Maryland,Southern Methodist,99,99,58,173,0,99,99,2022-09-17,5
4,3:30 PM,Massachusetts,20,Stony Brook,3,Massachusetts,Stony Brook,99,99,59,179,0,99,99,2022-09-17,5
4,7:00 PM,Memphis,44,Arkansas State,32,Memphis,Arkansas State,99,99,60,13,0,99,99,2022-09-17,5
4,12:00 PM,(4) Michigan,59,Connecticut,0,Michigan,Connecticut,4,99,63,46,0,4,99,2022-09-17,5
4,7:00 PM,Middle Tennessee State,49,Tennessee State,6,Middle Tennessee State,Tennessee State,99,99,65,184,0,99,99,2022-09-17,5
4,3:30 PM,Minnesota,49,Colorado,7,Minnesota,Colorado,99,99,66,44,0,99,99,2022-09-17,5
4,3:30 PM,(20) Mississippi,42,Georgia Tech,0,Mississippi,Georgia Tech,99,99,39,113,1,20,99,2022-09-17,5
4,12:00 PM,Missouri,34,Abilene Christian,17,Missouri,Abilene Christian,99,99,69,0,0,99,99,2022-09-17,5
4,3:00 PM,Nevada-Las Vegas,58,North Texas,27,Nevada-Las Vegas,North Texas,99,99,74,133,0,99,99,2022-09-17,5
4,8:00 PM,New Mexico,27,Texas-El Paso,10,New Mexico,Texas-El Paso,99,99,75,193,0,99,99,2022-09-17,5
4,7:00 PM,(16) North Carolina State,27,Texas Tech,14,North Carolina State,Texas Tech,99,99,78,192,0,16,99,2022-09-17,5
